[0.000000] (-) TimerEvent: {}
[0.000540] (-) JobUnselected: {'identifier': 'bno055'}
[0.000582] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.000665] (-) JobUnselected: {'identifier': 'dwb_core'}
[0.000684] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.000701] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.000717] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.000741] (-) JobUnselected: {'identifier': 'groot'}
[0.000757] (-) JobUnselected: {'identifier': 'marvelmind_ros2'}
[0.000774] (-) JobUnselected: {'identifier': 'marvelmind_ros2_msgs'}
[0.000790] (-) JobUnselected: {'identifier': 'mob_rob_loca'}
[0.000806] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.000822] (-) JobUnselected: {'identifier': 'nav2_behavior_tree'}
[0.000838] (-) JobUnselected: {'identifier': 'nav2_behaviors'}
[0.000855] (-) JobUnselected: {'identifier': 'nav2_bringup'}
[0.000871] (-) JobUnselected: {'identifier': 'nav2_bt_navigator'}
[0.000905] (-) JobUnselected: {'identifier': 'nav2_collision_monitor'}
[0.000922] (-) JobUnselected: {'identifier': 'nav2_common'}
[0.000937] (-) JobUnselected: {'identifier': 'nav2_constrained_smoother'}
[0.000953] (-) JobUnselected: {'identifier': 'nav2_controller'}
[0.000969] (-) JobUnselected: {'identifier': 'nav2_core'}
[0.000985] (-) JobUnselected: {'identifier': 'nav2_costmap_2d'}
[0.001000] (-) JobUnselected: {'identifier': 'nav2_costmap_filters_demo'}
[0.001016] (-) JobUnselected: {'identifier': 'nav2_dwb_controller'}
[0.001031] (-) JobUnselected: {'identifier': 'nav2_gps_waypoint_follower_demo'}
[0.001047] (-) JobUnselected: {'identifier': 'nav2_gradient_costmap_plugin'}
[0.001062] (-) JobUnselected: {'identifier': 'nav2_lifecycle_manager'}
[0.001078] (-) JobUnselected: {'identifier': 'nav2_map_server'}
[0.001093] (-) JobUnselected: {'identifier': 'nav2_mppi_controller'}
[0.001109] (-) JobUnselected: {'identifier': 'nav2_msgs'}
[0.001124] (-) JobUnselected: {'identifier': 'nav2_navfn_planner'}
[0.001139] (-) JobUnselected: {'identifier': 'nav2_planner'}
[0.001155] (-) JobUnselected: {'identifier': 'nav2_regulated_pure_pursuit_controller'}
[0.001170] (-) JobUnselected: {'identifier': 'nav2_rotation_shim_controller'}
[0.001186] (-) JobUnselected: {'identifier': 'nav2_rviz_plugins'}
[0.001201] (-) JobUnselected: {'identifier': 'nav2_simple_commander'}
[0.001217] (-) JobUnselected: {'identifier': 'nav2_smac_planner'}
[0.001233] (-) JobUnselected: {'identifier': 'nav2_smoother'}
[0.001248] (-) JobUnselected: {'identifier': 'nav2_straightline_planner'}
[0.001264] (-) JobUnselected: {'identifier': 'nav2_system_tests'}
[0.001279] (-) JobUnselected: {'identifier': 'nav2_theta_star_planner'}
[0.001295] (-) JobUnselected: {'identifier': 'nav2_util'}
[0.001310] (-) JobUnselected: {'identifier': 'nav2_velocity_smoother'}
[0.001325] (-) JobUnselected: {'identifier': 'nav2_voxel_grid'}
[0.001341] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.001357] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.001372] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.001388] (-) JobUnselected: {'identifier': 'navigation2'}
[0.001403] (-) JobUnselected: {'identifier': 'robot_localization'}
[0.001419] (-) JobUnselected: {'identifier': 'sam_bot_description'}
[0.001434] (-) JobUnselected: {'identifier': 'swisscat_robot'}
[0.001450] (-) EventReactorShutdown: {}
