X,Y
2.4,2.731
2.404,2.695
2.404,2.695
2.404,2.695
1.449,3.16
1.449,3.16
2.43,2.458
2.325,2.455
2.389,2.392
2.372,2.367
2.297,2.349
2.297,2.349
2.348,2.273
2.317,2.231
2.33,2.208
2.345,2.169
2.347,2.112
2.351,2.091
2.347,2.055
2.31,2.035
2.271,1.991
2.271,1.991
2.286,1.931
2.354,1.843
2.234,1.876
2.353,1.773
2.348,1.739
2.261,1.754
2.215,1.756
2.246,1.705
2.344,1.599
2.344,1.599
2.237,1.574
2.305,1.509
2.299,1.455
2.304,1.419
2.289,1.372
2.281,1.333
2.284,1.308
2.116,1.37
2.263,1.227
2.269,1.174
2.212,1.203
2.28,1.106
2.273,1.066
2.276,1.045
2.276,1.045
2.231,1.009
2.102,1.024
2.288,0.895
2.273,0.869
2.157,0.885
2.255,0.809
2.326,0.761
2.273,0.715
2.263,0.683
2.103,0.738
2.271,0.58
2.264,0.547
2.262,0.522
2.265,0.486
2.267,0.447
2.241,0.421
2.245,0.377
2.243,0.361
2.242,0.333
2.233,0.293
2.238,0.259
2.239,0.214
2.195,0.218
2.167,0.174
2.196,0.157
2.247,0.078
2.248,0.043
2.239,-0.025
2.231,-0.055
2.24,-0.099
2.235,-0.131
2.255,-0.171
2.251,-0.206
2.133,-0.147
2.09,-0.151
2.149,-0.211
2.123,-0.19
2.245,-0.248
2.222,-0.258
2.232,-0.307
2.223,-0.292
2.342,-0.295
2.24,-0.326
2.365,-0.328
2.249,-0.327
2.225,-0.317
2.235,-0.33
2.222,-0.324
2.243,-0.356
2.239,-0.35
2.251,-0.351
2.239,-0.355
2.249,-0.367
2.238,-0.357
2.256,-0.335
2.231,-0.348
2.244,-0.349
2.229,-0.345
2.155,-0.314
2.127,-0.307
2.214,-0.368
2.125,-0.324
2.213,-0.395
2.156,-0.38
2.201,-0.394
2.12,-0.359
2.179,-0.392
2.158,-0.398
2.136,-0.366
2.136,-0.366
2.091,-0.375
2.155,-0.393
2.155,-0.393
2.155,-0.393
2.155,-0.393
2.155,-0.393
2.155,-0.393
2.155,-0.393
2.155,-0.393
2.155,-0.393
2.155,-0.393
2.155,-0.393
2.155,-0.393
2.155,-0.393
2.155,-0.393
2.155,-0.393
2.155,-0.393
2.155,-0.393
2.155,-0.393
2.155,-0.393
2.155,-0.393
2.155,-0.393
2.155,-0.393
2.155,-0.393
2.155,-0.393
2.155,-0.393
2.155,-0.393
2.155,-0.393
2.155,-0.393
2.155,-0.393
2.155,-0.393
2.155,-0.393
2.155,-0.393
2.155,-0.393
2.155,-0.393
2.155,-0.393
2.155,-0.393
2.155,-0.393
2.206,-0.349
2.196,-0.338
2.241,-0.347
2.241,-0.347
2.249,-0.326
2.369,-0.395
2.265,-0.315
2.229,-0.298
2.242,-0.297
2.377,-0.366
2.379,-0.378
2.392,-0.384
2.373,-0.38
2.387,-0.382
2.396,-0.376
2.382,-0.383
2.294,-0.33
2.375,-0.364
2.372,-0.349
2.383,-0.378
2.366,-0.351
2.392,-0.33
2.397,-0.36
2.39,-0.372
2.383,-0.361
2.386,-0.365
2.382,-0.362
2.386,-0.353
2.396,-0.345
2.387,-0.348
2.39,-0.35
2.392,-0.341
2.396,-0.353
2.375,-0.353
2.373,-0.357
2.371,-0.342
2.375,-0.331
2.372,-0.367
2.39,-0.36
2.365,-0.347
2.306,-0.312
2.351,-0.335
2.365,-0.356
2.383,-0.359
2.389,-0.342
2.362,-0.35
2.376,-0.353
2.365,-0.362
2.273,-0.329
2.366,-0.365
2.317,-0.352
2.338,-0.361
2.331,-0.332
2.386,-0.383
2.399,-0.384
2.368,-0.384
2.351,-0.358
2.372,-0.371
2.263,-0.314
2.297,-0.322
2.377,-0.372
2.3,-0.329
2.376,-0.374
2.376,-0.374
2.345,-0.34
2.369,-0.358
2.397,-0.34
2.454,-0.324
2.419,-0.327
2.419,-0.327
2.578,-0.311
2.613,-0.331
2.639,-0.349
2.688,-0.316
2.705,-0.341
2.618,-0.305
2.762,-0.349
2.835,-0.337
2.849,-0.379
2.941,-0.338
2.93,-0.352
2.966,-0.354
3.008,-0.361
3.0,-0.342
3.078,-0.373
3.151,-0.383
3.151,-0.383
3.151,-0.383
3.213,-0.372
3.269,-0.375
3.271,-0.274
3.271,-0.274
3.271,-0.274
3.423,-0.395
3.487,-0.388
3.487,-0.388
3.487,-0.388
3.487,-0.388
3.586,-0.325
3.586,-0.325
3.639,-0.312
3.639,-0.312
4.21,0.016
3.716,-0.008
3.716,-0.008
3.716,-0.008
3.69,-0.291
3.69,-0.291
3.69,-0.291
3.69,-0.291
4.205,-0.219
4.205,-0.219
4.019,-0.36
4.019,-0.36
4.019,-0.36
4.019,-0.36
